row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
3025,17253,610509.2193609343,3012923.0615870575,98.20592,2.6703115,217.31873,-0.0016371622,6.466505,6.0,1
3025,17254,610539.2193609343,3012923.0615870575,95.425735,4.3232613,171.32138,-0.00060201436,5.983514,6.0,1
3025,17255,610569.2193609343,3012923.0615870575,93.1283,3.2574365,113.24231,0.00048467424,6.2674055,6.0,1
3025,17256,610599.2193609343,3012923.0615870575,93.23811,4.638234,80.387886,0.00077743316,5.912903,6.0,1
3026,17252,610479.2193609343,3012893.0615870575,98.15058,2.9435165,59.045643,-0.0019300312,6.368939,6.0,1
3026,17253,610509.2193609343,3012893.0615870575,97.89124,4.983866,132.3608,-0.0017803255,5.840692,6.0,1
3026,17254,610539.2193609343,3012893.0615870575,93.77959,6.032578,145.9196,-0.00040068518,5.6485453,6.0,1
3026,17255,610569.2193609343,3012893.0615870575,91.270256,3.132929,128.57195,0.0008321911,6.306459,6.0,1
3026,17256,610599.2193609343,3012893.0615870575,91.09611,2.2664275,88.926956,0.0011837047,6.6306977,6.0,1
3026,17257,610629.2193609343,3012893.0615870575,91.3295,2.9743047,83.42245,0.001104198,6.3585153,6.0,1
3027,17251,610449.2193609343,3012863.0615870575,94.58764,3.0811386,58.406063,-0.00057720393,6.3231606,6.0,1
3027,17252,610479.2193609343,3012863.0615870575,94.928795,4.977988,96.0458,-0.0009540282,5.841878,6.0,1
3027,17253,610509.2193609343,3012863.0615870575,93.65041,6.246215,118.81736,-0.00047191195,5.6134763,6.0,1
3027,17254,610539.2193609343,3012863.0615870575,91.67997,4.3861003,130.98978,0.00039068016,5.9690275,6.0,1
3027,17255,610569.2193609343,3012863.0615870575,90.96304,1.3876647,130.01572,0.0008626493,7.1216063,6.0,1
3027,17256,610599.2193609343,3012863.0615870575,91.04412,0.51121145,116.68454,0.000888087,8.12037,6.0,1
3027,17257,610629.2193609343,3012863.0615870575,90.60355,0.75851345,114.27361,0.0008735445,7.725761,6.0,1
3027,17258,610659.2193609343,3012863.0615870575,90.38531,0.7771697,105.67864,0.00097368035,7.7014594,6.0,1
3028,17250,610419.2193609343,3012833.0615870575,92.783226,1.847162,72.70509,0.00038445578,6.8354278,6.0,1
3028,17251,610449.2193609343,3012833.0615870575,93.43783,2.2616427,86.7614,1.0024378e-06,6.6328135,6.0,1
3028,17252,610479.2193609343,3012833.0615870575,92.37358,3.1355278,123.49002,0.000117736374,6.305628,6.0,1
3028,17253,610509.2193609343,3012833.0615870575,90.87173,3.0265086,131.39474,0.0006141387,6.341084,6.0,1
3028,17254,610539.2193609343,3012833.0615870575,90.58043,1.5004514,120.050674,0.0008102099,7.04343,6.0,1
3028,17255,610569.2193609343,3012833.0615870575,90.792915,0.4993674,86.38946,0.00059440185,8.143812,6.0,1
3028,17256,610599.2193609343,3012833.0615870575,90.79736,0.3311269,140.99127,0.00037944794,8.5546665,6.0,1
3028,17257,610629.2193609343,3012833.0615870575,90.49099,0.36791688,171.62463,0.00036276286,8.449308,6.0,1
3028,17258,610659.2193609343,3012833.0615870575,90.49205,0.18545036,172.89543,0.00042686888,9.134389,6.0,1
3028,17259,610689.2193609343,3012833.0615870575,90.41107,0.37975726,146.70609,0.00047526465,8.417633,6.0,1
3029,17250,610419.2193609343,3012803.0615870575,91.915184,1.1953468,84.352234,0.00074098795,7.270843,6.0,1
3029,17251,610449.2193609343,3012803.0615870575,92.1922,1.5043248,98.8827,0.00041838753,7.0408506,6.0,1
3029,17252,610479.2193609343,3012803.0615870575,91.965904,1.5865275,141.22806,0.00044994563,6.9876213,6.0,1
3029,17253,610509.2193609343,3012803.0615870575,91.00711,1.3964524,170.92418,0.00068051444,7.115291,6.0,1
3029,17254,610539.2193609343,3012803.0615870575,90.41038,0.21174431,172.34454,0.00063450285,9.001796,6.0,1
3029,17255,610569.2193609343,3012803.0615870575,90.70403,0.2851566,7.197643,0.00030241013,8.704133,6.0,1
3029,17256,610599.2193609343,3012803.0615870575,90.74409,0.16769221,185.53227,6.0229828e-05,9.235046,6.0,1
3029,17257,610629.2193609343,3012803.0615870575,90.58958,0.35456657,174.02298,4.041036e-05,8.486271,6.0,1
3029,17258,610659.2193609343,3012803.0615870575,90.488815,0.5231873,144.9466,0.000133898,8.097212,6.0,1
3029,17259,610689.2193609343,3012803.0615870575,90.1465,0.6459042,132.37656,0.00023465687,7.886486,6.0,1
3030,17250,610419.2193609343,3012773.0615870575,92.04401,0.96638316,241.40808,0.0006377495,7.4835243,6.0,1
3030,17251,610449.2193609343,3012773.0615870575,91.191154,1.0638975,167.01282,0.00053791475,7.3873706,6.0,1
3030,17252,610479.2193609343,3012773.0615870575,91.37899,1.163082,124.52121,0.0005535655,7.2982135,6.0,1
3030,17253,610509.2193609343,3012773.0615870575,90.94488,0.93271255,144.8381,0.00050769385,7.5189943,6.0,1
3030,17254,610539.2193609343,3012773.0615870575,90.50584,0.08976307,184.97867,0.00033220928,9.860005,6.0,1
3030,17255,610569.2193609343,3012773.0615870575,90.75079,0.3287926,333.45126,5.756166e-05,8.561742,6.0,1
3030,17256,610599.2193609343,3012773.0615870575,90.80654,0.20550556,205.04991,-0.00011237039,9.031702,6.0,1
3030,17257,610629.2193609343,3012773.0615870575,90.58247,0.57255274,170.784,-6.434759e-05,8.007042,6.0,1
3030,17258,610659.2193609343,3012773.0615870575,90.14525,0.68848944,158.45949,0.00010880153,7.8226314,6.0,1
3030,17259,610689.2193609343,3012773.0615870575,89.75448,0.4074358,149.79091,0.00023525662,8.34728,6.0,1
3031,17250,610419.2193609343,3012743.0615870575,93.561066,2.5061226,244.1399,-7.294335e-05,6.5300493,6.0,1
3031,17251,610449.2193609343,3012743.0615870575,91.602684,2.812794,205.37605,0.00027943292,6.414442,6.0,1
3031,17252,610479.2193609343,3012743.0615870575,90.49743,1.0871484,179.52814,0.0006585651,7.365746,6.0,1
3031,17253,610509.2193609343,3012743.0615870575,90.51898,0.29788405,121.881454,0.0005609364,8.660466,6.0,1
3031,17254,610539.2193609343,3012743.0615870575,90.60495,0.11051671,356.3451,0.00021723218,9.652012,6.0,1
3031,17255,610569.2193609343,3012743.0615870575,90.83565,0.2203906,1.6196187,-6.6890716e-05,8.961773,6.0,1
3031,17256,610599.2193609343,3012743.0615870575,90.90186,0.2647459,161.3307,-0.00016873889,8.778402,6.0,1
3031,17257,610629.2193609343,3012743.0615870575,90.50689,0.6297685,176.87347,-7.802751e-05,7.911787,6.0,1
3031,17258,610659.2193609343,3012743.0615870575,90.1123,0.54920036,199.92456,7.995182e-05,8.048686,6.0,1
3031,17259,610689.2193609343,3012743.0615870575,89.92331,0.43606627,228.46298,0.0001693111,8.2793665,6.0,1
3032,17251,610449.2193609343,3012713.0615870575,92.79541,3.3657455,207.87138,-0.00030153277,6.234624,6.0,1
3032,17252,610479.2193609343,3012713.0615870575,90.70312,2.4392264,220.83755,0.00032245636,6.557139,6.0,1
3032,17253,610509.2193609343,3012713.0615870575,90.65486,0.96609735,250.0343,0.00042952856,7.4838204,6.0,1
3032,17254,610539.2193609343,3012713.0615870575,90.702194,0.25876263,221.46793,0.00019566219,8.801262,6.0,1
3032,17255,610569.2193609343,3012713.0615870575,90.677605,0.39033893,96.999695,1.1338125e-05,8.390149,6.0,1
3032,17256,610599.2193609343,3012713.0615870575,90.73047,0.5451024,109.98601,-5.261103e-05,8.056176,6.0,1
