row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
560,877,632295.0,3031305.0,2040,42.918167,153.09048,0.0044444446,8.666888,2,0
908,879,632355.0,3020865.0,1409,42.981712,192.91782,0.00027777778,8.482343,1,1
262,695,626835.0,3040245.0,4551,25.074553,98.70737,-0.006666667,7.561911,1,0
774,382,617445.0,3024885.0,1777,22.999699,211.34958,0.0019444445,9.451072,1,0
29,1402,648045.0,3047235.0,1251,44.30769,189.58295,-0.008611111,9.465621,1,1
866,2375,677235.0,3022125.0,3422,38.72412,254.0137,-0.016666668,7.023238,3,0
991,1801,660015.0,3018375.0,1365,34.051716,182.82712,-0.0022222223,8.580514,1,0
852,2193,671775.0,3022545.0,2469,48.193245,275.77432,-0.003888889,8.887922,3,1
615,608,624225.0,3029655.0,2883,22.228525,320.7928,-0.0030555555,8.390381,1,0
611,1897,662895.0,3029775.0,2098,38.251976,295.3462,0.007222222,9.930526,1,0
1222,104,609105.0,3011445.0,2861,10.939804,277.4314,-0.00027777778,9.139105,1,0
862,1186,641565.0,3022245.0,911,46.510715,180.22647,0.011111111,8.695546,2,1
1010,2126,669765.0,3017805.0,1151,9.046032,173.991,0.009444444,20.56539,1,0
824,1615,654435.0,3023385.0,1308,20.600166,31.399456,-0.0025,9.978108,1,0
410,446,619365.0,3035805.0,3316,42.8722,190.60385,-0.008888889,8.956179,1,0
218,1974,665205.0,3041565.0,3335,53.305275,167.99222,-0.006111111,7.894632,1,0
838,961,634815.0,3022965.0,2022,22.791824,247.24902,0.0019444445,12.862391,2,0
696,331,615915.0,3027225.0,2545,32.433533,116.061,-0.0030555555,8.354444,1,0
613,1982,665445.0,3029715.0,2959,21.092936,280.58163,-0.0027777778,9.141316,1,1
1065,2038,667125.0,3016155.0,1729,34.362957,96.64864,-0.0025,9.485121,1,0
938,737,628095.0,3019965.0,762,46.52635,95.44033,-0.006666667,7.847702,1,1
201,232,612945.0,3042075.0,4290,35.061493,248.7671,-0.008888889,7.15649,1,0
568,461,619815.0,3031065.0,1821,35.474037,68.38522,0.0030555555,8.239829,1,0
36,952,634545.0,3047025.0,3698,43.79086,335.8858,0.016111111,9.409564,1,0
24,1398,647925.0,3047385.0,1358,54.30695,202.34282,0.016666668,9.24424,1,1
936,465,619935.0,3020025.0,2078,31.45496,301.63306,0.006111111,9.59646,1,0
152,1171,641115.0,3043545.0,2733,17.932003,281.88867,0.00055555557,10.5696745,1,0
919,2303,675075.0,3020535.0,2648,57.83024,249.76031,-0.0130555555,7.72506,3,0
503,398,617925.0,3033015.0,2177,27.135908,233.59592,-0.0013888889,9.668041,1,1
1190,657,625695.0,3012405.0,1860,23.142025,209.81416,-0.0022222223,8.345569,1,0
1024,2135,670035.0,3017385.0,1409,36.18666,227.77022,-0.0019444445,7.8081565,1,0
370,116,609465.0,3037005.0,3900,27.331488,343.61047,-0.0022222223,8.561039,1,0
532,1977,665295.0,3032145.0,2393,33.72721,204.32558,-0.0058333334,7.2064557,1,1
846,2175,671235.0,3022725.0,2175,35.738483,197.1759,-0.0027777778,8.230078,3,1
697,1264,643905.0,3027195.0,1357,31.698105,176.90594,0.0025,9.769269,1,0
499,394,617805.0,3033135.0,2173,35.79667,243.583,-0.005,7.1293244,1,1
91,351,616515.0,3045375.0,4424,51.578896,114.19321,-0.021388888,8.767927,1,0
1104,1330,645885.0,3014985.0,550,29.460201,114.86369,-0.0013888889,8.759873,2,0
706,1591,653715.0,3026925.0,2193,17.676495,11.309929,-0.003611111,8.639082,1,0
754,498,620925.0,3025485.0,972,8.716697,137.2026,0.018333333,21.29705,1,0
933,202,612045.0,3020115.0,2614,37.839706,80.73978,-0.0011111111,9.134421,1,0
440,164,610905.0,3034905.0,4217,12.017035,86.63354,0.005,12.993872,1,0
931,2144,670305.0,3020175.0,1572,32.081886,130.14691,0.003888889,8.655724,3,1
848,2175,671235.0,3022665.0,2137,37.000084,218.26399,-0.0025,10.722933,3,1
710,1792,659745.0,3026805.0,1650,26.496471,282.0613,-0.0033333334,8.191685,1,0
749,1645,655335.0,3025635.0,1905,25.744226,96.44953,0.0011111111,8.918047,1,0
289,330,615885.0,3039435.0,3819,10.22472,83.367485,0.0052777776,9.901413,1,0
994,1897,662895.0,3018285.0,1607,21.805696,305.6764,-0.004166667,10.203375,1,0
906,1003,636075.0,3020925.0,1646,31.809664,59.300278,-0.0030555555,9.359453,2,1
738,1342,646245.0,3025965.0,537,38.898327,243.30263,0.0044444446,11.024345,1,0
856,2184,671505.0,3022425.0,2287,46.080467,289.4528,0.01,8.55643,3,1
129,151,610515.0,3044235.0,4218,21.86986,41.63354,0.004722222,11.04743,1,0
1004,1208,642225.0,3017985.0,439,26.661848,99.071495,0.005,12.461137,2,0
742,664,625905.0,3025845.0,1461,20.518791,168.43988,0.0044444446,13.27,1,1
1231,1091,638715.0,3011175.0,1963,32.512516,244.44003,0.013333334,10.430842,2,0
31,1407,648195.0,3047175.0,1222,38.32882,198.43495,0.004722222,9.676454,1,1
755,478,620325.0,3025455.0,1199,30.25262,63.251896,-0.006111111,9.287455,1,0
511,1308,645225.0,3032775.0,2468,32.895344,61.949226,0.0027777778,10.329134,1,0
672,2324,675705.0,3027945.0,3695,33.196167,181.0947,0.0044444446,9.3060465,3,0
705,1964,664905.0,3026955.0,1729,43.46611,150.50504,0.009444444,9.6285515,1,1
