label,slope,dem,fault_distance
0,87.61818,859,50.0
1,85.42971,829,50.0
1,85.24457,1501,50.0
1,84.78948,1156,50.0
0,57.688465,783,50.0
0,68.58328,777,50.0
1,85.834175,1282,50.0
0,45.0,775,50.0
1,72.4516,244,50.0
0,83.085625,764,50.0
0,76.06791,819,50.0
0,68.198586,773,50.0
1,86.87851,1072,50.0
1,86.68048,922,50.0
1,85.436966,1224,50.0
0,84.58403,1025,50.0
1,86.64654,761,50.0
0,87.512794,986,50.0
1,86.56311,960,50.0
1,85.94773,1104,50.0
1,86.337006,651,50.0
1,86.7726,1281,50.0
1,86.10976,486,50.0
1,86.21516,1206,50.0
1,35.26439,772,50.0
0,26.56505,775,50.0
0,73.398445,399,50.0
0,83.745384,988,50.0
0,83.8096,907,50.0
0,84.45883,721,50.0
0,84.296486,722,50.0
0,60.982857,186,50.0
1,85.177666,725,50.0
1,35.26439,171,50.0
0,35.26439,785,50.0
0,81.635,835,50.0
0,87.34843,1024,50.0
0,35.26439,172,50.0
0,82.04803,950,50.0
1,86.004776,823,50.0
0,35.26439,164,50.0
0,72.65393,893,50.0
1,85.87486,467,50.0
0,83.98271,1202,50.0
0,80.69496,811,50.0
0,80.66413,867,50.0
1,86.55691,792,50.0
0,60.982857,825,50.0
0,81.89028,913,50.0
1,86.75062,932,50.0
0,88.46825,1182,50.0
0,87.54722,906,50.0
1,85.66781,423,50.0
0,76.73732,213,50.0
1,85.751976,1446,50.0
0,48.189682,770,50.0
0,45.0,165,50.0
0,84.45883,804,50.0
0,64.7606,819,50.0
1,85.27297,1424,50.0
1,82.10485,289,50.0
1,84.289406,1062,50.0
0,84.31756,1006,50.0
0,84.023766,806,50.0
0,35.26439,770,50.0
1,87.01291,784,50.0
1,85.751976,223,50.0
0,78.69006,1190,50.0
0,82.92944,921,50.0
0,83.56048,850,50.0
1,85.743195,885,50.0
1,87.343445,1208,50.0
0,35.26439,182,50.0
0,83.59076,837,50.0
0,65.90515,149,50.0
0,83.66949,1310,50.0
0,71.79923,801,50.0
1,85.77514,922,50.0
1,85.381714,916,50.0
1,85.834175,1230,50.0
1,85.03492,1287,50.0
1,86.42366,1412,50.0
0,64.7606,889,50.0
0,35.26439,185,50.0
0,84.11897,1363,50.0
0,84.91414,1089,50.0
0,84.11897,952,50.0
0,48.189682,770,50.0
0,26.56505,780,50.0
1,85.12117,901,50.0
1,86.004776,587,50.0
0,48.189682,816,50.0
1,85.381714,1038,50.0
0,82.92944,1086,50.0
1,85.88551,820,50.0
1,87.15966,1112,50.0
0,57.688465,1151,50.0
0,48.189682,823,50.0
1,85.594795,1321,50.0
0,74.206825,1295,50.0
1,85.78942,1029,50.0
0,88.248146,1213,50.0
0,84.11897,837,50.0
0,83.94925,1031,50.0
0,48.189682,160,50.0
0,77.760445,228,50.0
0,60.982857,848,50.0
1,86.729515,892,50.0
0,88.27004,823,50.0
1,82.79088,977,50.0
0,80.30342,560,50.0
0,64.12331,785,50.0
0,82.94286,429,50.0
0,48.189682,812,50.0
0,82.17876,791,50.0
0,72.4516,1469,50.0
1,86.47313,1231,50.0
0,56.309933,780,50.0
0,84.625885,1012,50.0
0,84.45883,1124,50.0
0,82.42198,1068,50.0
1,86.533356,1574,50.0
0,87.67857,1183,50.0
0,84.289406,1015,50.0
1,85.42608,873,50.0
0,83.477554,789,50.0
1,84.958626,946,50.0
0,84.85294,927,50.0
