latitude,longitude,event_date,admin_division_name,landslide_category,landslide_trigger,fatality_count,injury_count,location_description,source,verification_status
26.1699,91.7986,2007-07-19 00:00:00,Assam,landslide,rain,6.0,0.0,Guwahati,pan_ner_csv,reported
25.2946,92.8339,2007-08-26 00:00:00,Assam,landslide,rain,0.0,0.0,Shillong Road at Kuliang in the Jaintia Hills,pan_ner_csv,reported
26.1833,91.8,2007-09-13 00:00:00,Assam,landslide,rain,0.0,0.0,Guwahati,pan_ner_csv,reported
24.75,93.4333,2007-10-21 00:00:00,Assam,landslide,rain,0.0,0.0,National Highway 53 at Nungba in Tamenglong district of Manipur,pan_ner_csv,reported
24.9849,92.8411,2008-05-20 00:00:00,Assam,mudslide,mining,5.0,0.0,"A Cachar District village, near village of Srinager, Assam",pan_ner_csv,reported
27.2298,94.0989,2008-06-15 00:00:00,Assam,landslide,downpour,17.0,0.0,"Lakhimpur district, Bihpuria, Assam",pan_ner_csv,reported
27.163,94.0,2008-08-14 00:00:00,Assam,landslide,rain,0.0,0.0,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",pan_ner_csv,reported
26.3333,91.25,2008-10-29 00:00:00,Assam,landslide,downpour,7.0,0.0,"Kamrup, and Sonitpur, Assam",pan_ner_csv,reported
27.2333,94.1167,2008-10-29 00:00:00,Assam,landslide,downpour,0.0,0.0,North Lakhimpur ,pan_ner_csv,reported
25.5215,93.1645,2009-08-20 00:00:00,Assam,landslide,downpour,0.0,0.0,Lumding-Badarpur section in North Cachar Hills district,pan_ner_csv,reported
24.9925,93.5,2009-08-20 00:00:00,Assam,landslide,downpour,0.0,0.0,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",pan_ner_csv,reported
25.1718,93.123,2009-08-27 00:00:00,Assam,landslide,downpour,0.0,0.0,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),pan_ner_csv,reported
