latitude,longitude,event_date,admin_division_name,landslide_category,landslide_trigger,fatality_count,injury_count,location_description,source,verification_status
25.7428,93.9136,2007-08-28 00:00:00,Nagaland,landslide,rain,1.0,0.0,Phesema area at National Highway 39,pan_ner_csv,reported
25.4993,94.1192,2007-09-09 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Mao in Manipur, Phipema and Chunikhudima in Nagaland",pan_ner_csv,reported
25.7055,94.0132,2007-10-16 00:00:00,Nagaland,landslide,rain,0.0,0.0,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",pan_ner_csv,reported
25.4379,94.1162,2007-10-19 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",pan_ner_csv,reported
25.705,94.04,2008-08-07 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",pan_ner_csv,reported
26.138,94.25,2008-08-19 00:00:00,Nagaland,mudslide,downpour,4.0,0.0,"Akuk village, Wokha District, Nagaland",pan_ner_csv,reported
25.67,94.1066,2008-08-29 00:00:00,Nagaland,complex,downpour,0.0,0.0,"Kohima, Nagaland",pan_ner_csv,reported
26.3335,94.5512,2010-06-15 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Fazl Ali College, Mokokchung, Nagaland",pan_ner_csv,reported
26.4333,94.8833,2010-06-17 19:30:00,Nagaland,landslide,downpour,0.0,0.0,"Shayoung Ward(?), Longleng, Nagaland",pan_ner_csv,reported
25.8877,94.7861,2010-07-06 00:00:00,Nagaland,mudslide,monsoon,0.0,0.0,"Kiphire,  Nagaland",pan_ner_csv,reported
26.0093,94.5238,2010-07-06 00:00:00,Nagaland,mudslide,monsoon,0.0,0.0,"Zunheboto, Nagaland",pan_ner_csv,reported
26.2363,94.8133,2010-07-06 00:00:00,Nagaland,mudslide,monsoon,0.0,0.0,"Tuensang, Nagaland",pan_ner_csv,reported
26.7225,95.0281,2010-07-06 00:00:00,Nagaland,mudslide,monsoon,0.0,0.0,"Mon, Nagaland",pan_ner_csv,reported
26.7215,95.0283,2010-07-19 06:00:00,Nagaland,landslide,downpour,0.0,0.0,"Jahjon ward(?), Mon town, Nagaland",pan_ner_csv,reported
26.8716,94.9921,2010-07-20 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",pan_ner_csv,reported
25.4196,94.1054,2010-07-29 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Maram area in Senapati district, National Highway 39",pan_ner_csv,reported
25.70223725,94.04619681,2010-08-13 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland",pan_ner_csv,reported
26.0814,94.803,2010-08-14 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Kiphire-Tuensang rd, Nagaland",pan_ner_csv,reported
26.222,94.9152,2010-08-14 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Noklak-Tuensang road, Nagaland",pan_ner_csv,reported
26.148,94.8422,2010-08-14 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Tuensang-Shamatore(Sampurre) rd, Nagaland",pan_ner_csv,reported
26.2753,94.6654,2010-08-17 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Dikhu bridge(?), Mokokchung-Tuensang road, Nagaland",pan_ner_csv,reported
26.1984,94.8158,2010-08-19 06:30:00,Nagaland,landslide,downpour,0.0,0.0,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",pan_ner_csv,reported
25.61560252,94.11603493,2010-08-19 18:00:00,Nagaland,landslide,downpour,0.0,0.0,"Kisima, Nagaland",pan_ner_csv,reported
25.5718,94.1211,2010-08-21 18:00:00,Nagaland,landslide,downpour,0.0,0.0,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",pan_ner_csv,reported
25.4786,94.1327,2010-08-27 16:30:00,Nagaland,landslide,downpour,0.0,0.0,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",pan_ner_csv,reported
25.63961883,94.11112157,2010-09-12 00:00:00,Nagaland,landslide,downpour,0.0,0.0,power lines 5 km from Kohima,pan_ner_csv,reported
25.2745,94.0212,2010-10-08 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Bungte Chiru village(?), Senapati district, Manipur",pan_ner_csv,reported
25.4769,94.1351,2010-10-08 00:00:00,Nagaland,mudslide,downpour,0.0,0.0,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",pan_ner_csv,reported
25.682,94.1076,2010-10-09 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Lower Pezielietsie(Tinpati), Kohima, Manipur",pan_ner_csv,reported
25.5265,93.8673,2010-10-09 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",pan_ner_csv,reported
25.3179,94.0462,2010-10-09 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"NH-39 in Karong area, Manipur",pan_ner_csv,reported
25.4788,94.1399,2010-10-09 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",pan_ner_csv,reported
25.6623,94.1072,2010-10-10 06:00:00,Nagaland,landslide,downpour,0.0,0.0,"Lower Chandmari area, PWD department, Kohima, Manipur",pan_ner_csv,reported
26.3186,94.5121,2011-06-20 00:00:00,Nagaland,landslide,downpour,0.0,0.0,Mokokchung,pan_ner_csv,reported
25.51614662,94.2341227,2011-06-21 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Lasumi village in Phek district, Kohima",pan_ner_csv,reported
25.6682,94.1099,2011-06-28 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",pan_ner_csv,reported
25.8782,94.1739,2011-07-01 00:00:00,Nagaland,landslide,downpour,0.0,0.0,NH-61 between Botsa and Chiechama,pan_ner_csv,reported
25.4191,94.1079,2011-07-07 00:00:00,Nagaland,landslide,rain,0.0,0.0,Maram (80 km north of Imphal),pan_ner_csv,reported
25.6703,94.1095,2011-07-11 09:00:00,Nagaland,landslide,downpour,0.0,0.0,"NH-61, 1 km before reaching Botsa",pan_ner_csv,reported
25.4192,94.108,2011-07-29 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Maram, Manipur",pan_ner_csv,reported
25.83,94.13,2011-08-18 00:00:00,Nagaland,landslide,monsoon,0.0,0.0, Botsa  and Chiechama,pan_ner_csv,reported
26.0977,94.7031,2013-06-07 00:00:00,Nagaland,landslide,unknown,0.0,0.0,"Kuthur – Huker Road Via Y Anner, Chessore, Nagaland",pan_ner_csv,reported
26.0977,94.7499,2013-06-07 00:00:00,Nagaland,landslide,unknown,0.0,0.0,"Helipong-Chessore Road, Nagaland",pan_ner_csv,reported
26.1147,94.3864,2013-07-01 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",pan_ner_csv,reported
26.72,95.029,2013-07-01 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Walo Ward, Mon Town, Wokha District, Nagaland",pan_ner_csv,reported
25.6269,94.1139,2013-07-12 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"National Highway 29 Near Phesama Village, Nagaland",pan_ner_csv,reported
25.616,94.1167,2013-07-12 23:00:00,Nagaland,landslide,downpour,0.0,0.0,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",pan_ner_csv,reported
25.6269,94.1139,2013-07-15 00:00:00,Nagaland,landslide,rain,0.0,0.0,"National Highway 29 Near Phesama Village, Nagaland",pan_ner_csv,reported
25.7131,94.0885,2013-07-17 00:00:00,Nagaland,mudslide,rain,0.0,0.0,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",pan_ner_csv,reported
25.7658,93.9413,2013-07-17 00:00:00,Nagaland,mudslide,rain,0.0,0.0,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",pan_ner_csv,reported
26.0137,94.5163,2013-08-04 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,"Zunheboto, Nagaland",pan_ner_csv,reported
26.284,94.5808,2013-08-04 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,"Nanga, Nagaland",pan_ner_csv,reported
26.2083,94.5438,2013-08-04 00:00:00,Nagaland,landslide,monsoon,0.0,0.0,"Longsa, Nagaland",pan_ner_csv,reported
26.1498,94.6055,2013-08-04 00:00:00,Nagaland,landslide,monsoon,0.0,0.0,"Suruhuto Town, Nagaland",pan_ner_csv,reported
26.0838,94.564,2013-08-04 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Suruhuto Town, Nagaland",pan_ner_csv,reported
26.0481,94.4619,2013-08-04 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,"Phizo, Nagaland",pan_ner_csv,reported
26.1807,94.5497,2013-08-04 00:00:00,Nagaland,landslide,monsoon,0.0,0.0,"Zhekuto, Nagaland",pan_ner_csv,reported
25.8376,94.5234,2013-08-04 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,"Tizu, Nagaland",pan_ner_csv,reported
25.318,94.0441,2013-08-09 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Senapati, Manipur",pan_ner_csv,reported
25.3833,94.1884,2013-08-15 00:00:00,Nagaland,landslide,downpour,0.0,0.0,"Koide Government High School, Senapati, Manipur",pan_ner_csv,reported
26.3897,94.9439,2013-08-16 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Tobu, Nagaland",pan_ner_csv,reported
26.4205,94.9731,2013-08-16 00:00:00,Nagaland,landslide,rain,0.0,0.0,"Yakshu, Nagaland",pan_ner_csv,reported
26.4205,94.9731,2013-08-30 00:00:00,Nagaland,mudslide,unknown,0.0,0.0,"Yakshu, Nagaland",pan_ner_csv,reported
25.8266,94.1497,2013-10-05 23:00:00,Nagaland,mudslide,continuous_rain,0.0,0.0,"Chiechama, Nagaland",pan_ner_csv,reported
25.9466,94.6279,2014-09-08 00:00:00,Nagaland,mudslide,unknown,0.0,0.0,Kiphire-Seyochung road near Yangzitong village,pan_ner_csv,reported
26.0319,94.5466,2015-06-24 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,"New Land (""""New Colony"""")",pan_ner_csv,reported
25.72,94.6219,2015-08-02 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,Meluri Sub-Division in Phek District of Nagaland,pan_ner_csv,reported
25.6237,94.1136,2015-08-12 00:00:00,Nagaland,mudslide,continuous_rain,0.0,0.0,Phesama village,pan_ner_csv,reported
26.0214,94.5224,2015-08-19 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,Zunheboto district,pan_ner_csv,reported
25.6278,94.1051,2015-08-19 15:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,Phesama,pan_ner_csv,reported
25.6263,94.1057,2015-08-20 18:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,between Phesama and Kuima in Nagaland,pan_ner_csv,reported
26.7223,95.0243,2016-04-19 00:00:00,Nagaland,landslide,continuous_rain,0.0,0.0,"Techahan Ward, Mon, Nagaland, India",pan_ner_csv,reported
