latitude,longitude,event_date,admin_division_name,landslide_category,landslide_trigger,fatality_count,injury_count,location_description,source,verification_status
27.4459,88.6193,2007-04-11 00:00:00,,landslide,downpour,0.0,0.0,"Sikkim, 13 km north of Gangtok",pan_ner_csv,reported
27.3383,88.6069,2007-05-23 00:00:00,Sikkim,landslide,rain,0.0,0.0,"Pangthang, on road b/t Gangtok and North Sikkim",pan_ner_csv,reported
27.1499,88.38,2007-07-16 00:00:00,Sikkim,mudslide,rain,0.0,0.0,Bardang near Singtam,pan_ner_csv,reported
26.1699,91.7986,2007-07-19 00:00:00,Assam,landslide,rain,6.0,0.0,Guwahati,pan_ner_csv,reported
25.38,91.88,2007-07-26 00:00:00,Meghalaya,landslide,rain,0.0,0.0,Singtam,pan_ner_csv,reported
25.5212,90.232,2007-07-27 00:00:00,Meghalaya,rock_fall,rain,8.0,0.0,Tura,pan_ner_csv,reported
22.533,92.899,2007-07-30 00:00:00,Mizoram,landslide,downpour,0.0,0.0,Lawngtlai,pan_ner_csv,reported
22.479,92.967,2007-07-30 00:00:00,Mizoram,landslide,downpour,0.0,0.0,Saiha,pan_ner_csv,reported
25.5576,91.8506,2007-08-26 00:00:00,Meghalaya,complex,rain,0.0,0.0,National Highway No 44 at Sonarpur in Meghalaya,pan_ner_csv,reported
25.2946,92.8339,2007-08-26 00:00:00,Assam,landslide,rain,0.0,0.0,Shillong Road at Kuliang in the Jaintia Hills,pan_ner_csv,reported
24.9667,93.55,2007-08-26 00:00:00,Manipur,mudslide,continuous_rain,1.0,0.0,Tamenglong,pan_ner_csv,reported
25.7428,93.9136,2007-08-28 00:00:00,Nagaland,landslide,rain,1.0,0.0,Phesema area at National Highway 39,pan_ner_csv,reported
25.1333,93.9667,2007-08-31 00:00:00,Manipur,landslide,rain,0.0,0.0,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",pan_ner_csv,reported
